code,title,definition,landscape_ecological_context,synonyms,inclusions,exclusions,species,nvc_associations
120,Grouse moor,Moorland managed primarily for the purposes of grouse rearing and shooting.,,,,,,
121,Calcareous-acidic mosaic,A small-scale mosaic of vegetation types with predominance of calcicole and calcifugous,,,,,.,
122,Ridge and furrow,"An archaeological pattern of ridges and troughs created by a system of ploughing used in Europe during the Middle Ages, typical of the open field system.",This land-use is closely linked with Lowland meadows (see g3a~).,Rig (or rigg) and furrow (mostly in Scotland and the northeast of England).,,,,
123,Water meadow irrigation,Controlled flooding through ditches and runnels to create temporary shallow water across fields in spring.,A traditional management method used for centuries on some floodplains to increase soil fertility and promote early grass growth.,,,,,
124,Anthills,"Mounds of soil created by ants, usually at least part-vegetated in grassland and unvegetated in woodlands.",,,,,,
127,Sward type mosaic,"A grassland site with a mosaic of sward types such as short grazed or mown, tall flower-rich or tussocky.",,,,Large-scale mosaics of sward types or management units that merit management as separate features.,,
128,Tall or tussocky sward,"Tall swards, with or without tussocks, providing nectar, pollen, foodplants, seeds, dead seedheads and prey items for invertebrates and certain bird",,,,,.,
129,Wet moss lawns,Areas where moss is the dominant ground cover (>95%).,,,"Ground flora of damp woodlands that are particularly found in the north and west of the UK. Disused concrete areas in urban sites that become covered with moss and stonecrops Sedum spp.. Green roofs (see 86, 87, 88, 89) with dominant moss.",Areas that do not have >95% moss cover. Wetland habitats with bryophytes dominant (see 409).,,
13,Scattered dwarf shrubs,Dwarf shrubs present at <25% cover in any feature that reaches minimum mappable area. There should be ≥3 shrubs.,,,,,Dwarf shrubs include woody plants <1.5 m in height that are Heather Calluna vulgaris or,
130,Waxcap grassland,Grasslands with rich assemblages of Waxcap and other fungi of high conservation importance.,"Grassland fungi are typically associated with grasslands of low fertility; these include meadows and pastures both in the lowlands and uplands of the UK, but also ancient lawns, cemeteries, old mineral workings and reservoir embankments. These fungi show a strong preference for grassland that is regularly grazed or mown, and without any significant applications of artificial fertiliser or other chemical treatments (Griffith & Roderick, 2008).",,"Although Waxcaps, the genus Hygrocybe sensu lato, tend to form the most conspicuous and recognisable constituent of these grasslands, other fungi can be of equal, or greater, conservation importance. Some mycologically rich grasslands appear to support a relatively low diversity of vascular plants. Five groups of grassland fungi – the CHEGD groups – have traditionally been assessed (Bosanquet et al., 2018). The five broad CHEGD groups comprise the following currently accepted genera: C (Clavarioid fungi): Clavaria, Clavulinopsis, Ramariopsis; H (Hygrocybe s.l.): Cuphophyllus, Gliophorus, Gloioxanthomyces, Hygrocybe s. str., Neohygrocybe, Porpolomopsis; E (Entoloma): Entoloma s.l.; G (Geoglossoid fungi): Geoglossum, Glutinoglossum, Microglossum, Sabuloglossum, Trichoglossum; D (Dermoloma etc.): Dermoloma, Porpoloma (Pseudotricholoma metapodium), Camarophyllopsis, Hodophilus.",,,
131,Arable reversion,"Grassland that has its origins on reverted arable land, primarily through agri-environment scheme incentives in the late 20th and early 21st century. Targets, in terms of improved or",,,,,"-rich, and methods – re-seeding or encouraging natural regeneration through long term set-aside – have varied according to context. All types are included here.",
14,Scattered rushes,Rushes Juncus spp. occasional to abundant (6– 50%) in the habitat parcel.,,,,,,
15,Rushes dominant,Rushes Juncus spp. dominant (≥50%) in the habitat parcel.,,,,,,
16,Tall forbs,"Stands of tall perennial or biennial dicotyledons, such as Rosebay Willowherb Chamerion angustifolium, Common nettle Urtica dioica, Hogweed Heracleum sphondylium and Alexanders Smyrnium olusatrum.",,,Includes non-wooded stands of,Excludes upland,", such as Lemon-scented Fern Oreopteris limbosperma, Lady-Fern Athyrium filix-femina, Dryopteris spp. or Great Wood-rush Luzula sylvatica.",
17,Juniper on heaths or,"The relationship between Juniper Juniperus communis stands and other types of vegetation is complex. In some cases, the stands have no characteristics to separate them from typical examples of heath or calcareous grassland vegetation, except for the abundance of Juniper. These are often relatively recent stands. However, at some sites, particularly where the juniper has been present for a longer period, a more distinctive assemblage of","The main ecological variation occurs between stands on calcareous substrates (principally chalk and limestone, but sometimes calcareous drift) and those found on acid substrates. Calcareous types are mainly found in the southern part of the UK, while acid types are mainly found in northern areas. However, both calcareous and acid types can be found on the same sites in northern England and Scotland.",Annex 1: H5130 Juniperus communis formations on heaths or calcareous grasslands.,,Dense stands of Juniper >0.04ha (use h3k).,"occurs. Here, the Juniper is associated with other shrubs, shade- tolerant herbs, grazing-sensitive tall herbs, bryophytes and ferns.",
19,Coastal and floodplain,"Periodically inundated pasture, or meadow with ditches that maintain the water levels, containing standing, brackish or fresh water.","The habitat can occur on the floodplains of rivers and also on reclaimed land behind sea walls. It may contain areas of Lowland meadow, Modified grassland and Other neutral grasslands. There may also be small areas of tall fen type habitats and-or scrub.",,Floodplain wetland mosaic (see 55) is likely to be a spatial sub-set of Coastal and floodplain grazing marsh. Sites may contain seasonal water-filled hollows and permanent ponds with emergent swamp communities.,Extensive areas of tall fen,", such as reeds.",
2,Spatial Feature Type,"Unvegetated, disturbed (regularly or drastically periodically) or sparsely vegetated habitats (permanently or periodically naturally unvegetated areas) that are inhabited by stress-tolerating vegetation with cover <50%.",,,"Sparsely vegetated natural or extracted rock or soil surfaces. Includes inland rock, supralittoral rock (sea-cliffs) supralittoral sediment (mud, sand and shingle) and coastal habitats (including dunes).",Sparsely vegetated constructed surfaces (see u1f).,,
200,Tree,"Forest phanerophyte at any stage of growth, e.g. Oak Quercus spp. or Ash Fraxinus excelsior but not Hawthorn Crataegus monogyna or Hazel Corylus avellana.",,,,,,
201,Young trees – planted,Areas where planting is clearly visible. Guards to protect trees may still be visible.,,,"Trees planted along the side of a road, usually located on the pavement edge in tree pits.",Agro-forestry (see 617).,,
202,Young trees – self-set,"Tree seedlings or saplings of natural regeneration origin. Can be in woodland, scrub or in open habitats.",,,,,,
203,Mature tree,An individual mature tree at least two-thirds of its expected fully mature height for the,,,"Trees planted along the side of a road, usually located on the pavement edge in tree pits.",,.,
204,Veteran tree,"A tree, usually in the second or mature stage of its life, with important wildlife and habitat features, including; hollowing or associated decay fungi, holes, wounds and large dead branches. It will generally include old trees but also younger, middle-aged trees where premature aging characteristics are present.",,,A more precise,Veteran trees may or may not be ancient trees (see 205).,,
205,Ancient tree,Attributes can include great age in comparison with other trees of the same,,,A more precise,,and great size in terms of trunk girth.,
206,Felled,Woodland areas that have been felled or stands where the stocking has been reduced to <25% and where it is expected that these areas will be replanted.,,,,,,
207,Forest brash,"In a felled woodland area, brash consists of the tops and small-diameter branchwood left lying on the ground after the merchantable wood has been extracted.",,,Whole trees in windblown areas.,,,
208,Ground prepared for,"Land recently converted from some other land-use to woodland and showing plough furrows or mounding but the new planting, if present, cannot yet be discerned. Often used with ‘bare ground’ (see 510).",,,,,,
209,Avenue,"A collection of trees planted along both sides of roads or paths or, as a landscape feature, two (very rarely three or four) rows of trees in parkland.",,,Native and non-native trees.,,,
210,Coppice,Crops of broadleaved,A woodland management method most frequently used for biodiversity enhancement rather than commercial production in recent decades.,,,,"that have ≥2 stems per stool and are either being worked or are capable of being worked on rotation. With the exception of Hazel Corylus avellana coppice, more than half the stems should be capable of producing 1m timber lengths of good form.",
211,Coppice with standards,Two-storey woodland stands where the overstorey consists of ≥25 stems per ha that are older than the understorey of worked coppice by ≥1 coppice rotation.,,,,,,
212,High forest,All woodland except stands managed as coppice (see 210) or coppice-with-standards (see 211). Some stands have the potential to produce sawlogs.,,,,,,
213,Complex woody,"Woodland habitat with a wide range of structural types such as shrubs, understorey, mature and senescent trees.",This code describes variety and can be used with other woodland secondary codes to describe woodland structure.,,,,,
214,Fallen dead wood,Fallen dead wood in woodland ≥40m³ per ha.,,,,,,
215,Standing dead wood,">20 standing dead trees (snags) per ha, some of which are ≥40 cm in diameter.",,,,,,
216,Large hollows or cavities,"Semi-enclosed cavities which have naturally formed in the trunk or branch of a tree. Predominantly found in old trees, living or dead.",,,,Hollows in the ground.,,
217,Woodland open space,"Rides, glades, power line routes and fire breaks that are completely surrounded by woodland or, in the case of linear features, have woodland on both sides.",,,,Rides and glades that have >25% tree canopy cover. Unvegetated forestry tracks (see 839).,,
25,Temperate rainforest,"Woodlands and scrub in hyperoceanic lowlands bioclimatic zones near the Atlantic coasts with characteristic, rich communities of oceanic mosses, liverworts and lichens.","Largely confined to western areas on or near the Atlantic coast, from northwest Scotland to southwest England, with pockets in Northern Ireland. Hyperoceanic lowlands bioclimatic zones (Carey et al, 1995; Hossell et al. 2003) are derived from analyses based on a combination of climate and",,"Atlantic Hazel (see h3b5) and Upland Oakwood (see w1a) will normally meet the criteria for this habitat, but other Priority Habitat woodlands may also do so.","Woodlands and scrub in the temperate rainforest climate zone that lack the characteristic rich communities of mosses, liverworts and lichens.","distributions. A global temperate rainforest climate zone has been defined by annual precipitation >140 cm and monthly mean temperatures within the 2–16°C range (Alaback, 1991).",
26,Wood-pasture and,"Mosaic habitats valued for their trees, especially veteran and ancient trees, and the flora and fauna that they support. This habitat displays at least some of the following characteristics (see","section for additional qualifying characteristics): (1) Open-grown trees, some of which are ancient or veteran and may be hollow and support significant amounts of dead and decaying timber. If managed, the ancient or veteran trees have generally been pollarded, although wood-pastures may incorporate other forms of tree management. The trees often exhibit a browse line at the maximum height that browsing animals can reach. (2) Scrub, as individual plants or clumps, in some instances providing tree protection or opportunities for tree regeneration. (3) Evidence of past land-use for extensive agriculture and transhumance systems (where livestock are moved between lowland in winter and upland or mountain grazing in the summer). Abandoned wood-pastures in the uplands are remnants of a lost land-use system, which is still extant in many parts of continental Europe. These wood-pastures contain open grown veteran trees (often pollards), which may in some instances now be within a matrix of secondary woodland or scrub that has developed by regeneration and/or planting in the absence of grazing animals. (4) Wood-pasture or parkland that has been converted to other land uses, such as arable fields, forestry and amenity land, but where surviving veteran trees are of nature conservation interest. Some of the characteristic wood-pasture and parkland",,,"Urban parks, unless they were created from old parklands or are associated with ancient buildings. Sheep-grazed upland oakwoods (see w1a~ 102).","may be surviving this change in state in the short term while the veteran trees remain alive. Sites may contain ancient pollards (e.g. Hatfield Forest) and other less usual tree forms, which result from trees being managed for timber, fodder and other products in the presence of grazing animals.",
27,Traditional orchards,"Open-grown fruit trees within herbaceous vegetation. The defining feature is habitat structure, rather than vegetation type, topography or soils. Traditional orchards are structurally and ecologically similar to wood-pasture and parkland (see 26), with open-grown trees set in herbaceous vegetation, but they are generally distinguished from these Priority Habitat complexes by the following characteristics: the",,,"The minimum number of trees is 5. Nut trees, such as hazel nuts, cobnuts and walnuts. Community orchards. Abandoned, overgrown orchards that retain their fruit trees.",Intensive orchards (see c1e).,"composition of the trees, these being primarily in the Rosaceae family; the usually denser arrangement of the trees; the small scale of individual habitat patches; and the wider dispersion and greater frequency of occurrence of habitat patches in the countryside.",
28,Ancient woodland site,England and Wales,"Can include: (a) fragments of woodland in inaccessible areas (e.g. cliffs, gorges); (b) ancient high forest (mainly Pine Pinus sylvestris and Birch Betula spp. in Scotland); (c) relicts of wood-pasture (unenclosed woodland in former medieval forests, old deer parks and wooded commons); (d) ancient coppice woods.",,"Woodland that has been periodically felled or coppiced, provided that the woodland has been allowed to naturally regenerate. The tree and shrub layer is composed of","Land that was an ancient woodland site in the recent past but has now been cultivated or converted to agricultural use, burned intentionally or otherwise altered to prevent natural regeneration of woodland habitat.","that are native to the site and derived from natural regeneration or coppice regrowth from individuals that were themselves derived from natural regeneration (use codes 28 and 30). If a site has been replanted, use codes 28 and 29 — Plantation on Ancient Woodland Site, or ‘PAWS’.",
29,Plantation,"Obviously planted trees that are predominantly even-aged, of uniform density and similar forms, normally occurring in rows.",Planted woods of native,,Wooded ornamental gardens and arboretum collections.,,"may often acquire some of the characteristics of semi-natural woodland (see 30), especially where they are on ancient woodland sites (see 28), where plants and animals have survived from the former semi- natural wood. The development of a varied structure and composition, including diverse native tree, shrub and field layer vegetation and the use of locally native",
30,Semi-natural woodland,"Derived from natural regeneration or coppicing and composed of trees that are usually uneven- aged, of mixed density and forms, and that occur in natural groupings.",,,,,,
300,Lowland rivers with,"Group A in the River Groups classification (Holmes, 1983) which represents an environmental gradient from lowland eutrophic rivers, to those that are essentially upland, torrential and oligotrophic. Lowland rivers with shallow gradients and rich geology include Lowland, low-gradient rivers (Type I), Lowland, clay dominated rivers (Type II), Chalk rivers (see 51) and other base-rich rivers with stable flows (Type III) and Impoverished lowland rivers (Type IV).",,,,,,
301,Meso-eutrophic rivers on,"Group B in the River Groups classification (Holmes, 1983) which represents an environmental gradient from lowland eutrophic rivers, to those that are essentially upland, torrential and oligotrophic. Meso-eutrophic rivers on sandstone and hard limestone include sandstone, mudstone and hard limestone rivers of England and Wales (Type V) and sandstone, mudstone and hard limestone rivers of Scotland and northern England (Type VI).",,,,,,
302,Mesotrophic and oligo-,"Group C in the River Groups classification (Holmes, 1983) which represents an environmental gradient from lowland eutrophic rivers, to those that are essentially upland, torrential and oligotrophic. Mesotrophic and oligo-mesotrophic rivers include Mesotrophic rivers dominated by gravels, pebbles and cobbles (Type VII) and Oligo-mesotrophic rivers (Type VIII).",,,,,,
303,Acid and nutrient-poor,"Group D in the River Groups classification (Holmes, 1983) which represents an environmental gradient from lowland eutrophic rivers, to those that are essentially upland, torrential and oligotrophic. Acid and nutrient-poor rivers include Oligotrophic low- altitude rivers (Type IX) and Ultra-oligotrophic rivers (Type X).",,,,,,
304,Unobstructed river,River systems allowing completely free movement of fish from source to mouth with no artificial obstructions such as dams and weirs.,,,,,,
305,Spring,Gushing or trickling springs and the vegetation associated with them.,,,Springs arising from a point source which seep at or over the surface and are not immediately channelised.,,,
306,Headwaters,"A watercourse within 2.5km of its furthest source as marked with a blue line on Ordnance Survey (OS) maps at a scale of 1:50,000. Note that each tributary of a river will have its own headwater, so there will be >1 per catchment.",,,,,,
308,Active shingle rivers,"This habitat comprises those rivers which have significant reaches composed of a gravel or pebble bed material (with grain sizes in the range 2–256 mm), sometimes with discrete sandy reaches or deposits (0.064–2 mm diameter) in areas of lower slope and having characteristic suites of features generated by the processes of erosion, sediment transport, deposition, and storage. Their headwaters are usually in upland areas which generate high-energy discharges, resulting in intermittent sediment movement. Average bed sediment size usually declines downstream (with the downstream reduction in underlying gradient and stream power) generating a commensurate change in habitat.",,,,,,
309,Riffles,"An area of river or stream characterised by shallow depths with fast, turbulent water.",,,,,,
31,Secondary woodland,"Woodlands that have regrown on abandoned or neglected ground that had previously been used for agriculture, grazing or development of towns, villages, industry and roads.",,,Woodland on rewilding sites where grazing pressure is deliberately managed to allow woodland to develop on former open habitats.,Plantations.,,
310,Gravel beds,"A river bed comprising clastic material of at least 2mm in diameter, including pebbles and cobbles. Characteristic of montane and upland valleys.",,,,,,
311,Coarse woody debris in-,"Entire trees, branches or root plates that have fallen into watercourses. Often spans the entire width of smaller streams to accumulate into ‘debris dams’, whilst in main rivers wood collects in backwaters, shallows or wooded margins.",,,,,,
312,Base-rich water,Water with relatively high levels of dissolved calcium and magnesium.,,,,,,
313,Backwaters,An area of water that is connected to a river but is not affected by its current.,,,Former meanders and-or pools with a slow turnover of water.,,,
314,Mudbanks,A submerged or partly submerged bank of mud along a shore or in a river. These are particularly common on tidal rivers.,,,,,,
315,Exposed riverine,"Mounds of sediment which have recently been deposited in any channel of flowing water and then subsequently exposed by reduced water levels, including shoals, bars, berms, spits, sandbanks and shingle banks.",,,,,,
316,Shallow pools,"An area of slow current within or to the side of a faster current of freshwater, of modest depth.",,,,,,
317,Tidal river,A river whose flow and level are influenced by tides and vegetation is affected by saltwater. Tidal rivers can be found using OS Open Rivers maps.,,,,Estuaries (see 74).,,
318,Canalside,"Land, typically including a towpath, between the aquatic habitat of the canal and the boundary of the canal corridor.",,,,,,
319,Watercourse buffer strip,"A strip of vegetation beside a watercourse that intercepts and slows runoff water to reduce the risk of potential pollutants, such as sediment, pesticides and nutrients reaching the watercourse.",,,,,,
32,Scattered trees,"Non-woodland habitats that have trees at low density. Overall canopy cover is <25%, but there are ≥5 trees and ≥5 trees per ha.",,,,,,
320,Lakes and ponds buffer,"Vegetation created around a lake or pond that intercepts and slows runoff water to reduce the risk of potential pollutants, such as sediment, pesticides and nutrients reaching the water body.",,,,,,
321,Timber sluice,"A timber sluice installed to provide a mechanism for water level control, supporting raised water levels for maintaining, restoring or creating habitats.",,,,,,
322,Re-meandering,"Creation of a new meandering course or reconnecting cut-off meanders in a river, slowing river flow.",,,,,,
323,Riverbank re-profiling,"Riverbank re-profiling seeks to restore or recreate the natural cross-sectional profile of a river, usually to enhance biodiversity.",,,,,,
33,Line of trees,A line of trees that is ≥20 m long and <5 m wide at the base. The canopy base is >2 m in height and there is open habitat on each side.,,,Linear tree features with a shrub layer that is <20 m long.,Linear tree features with a shrub layer that is >20 m long (see 11).,,
34,Ecologically valuable line,"A line of trees (see 33) that has ≥1 mature (see 203), veteran (see 204) or ancient tree (see 205) per 30 m length.",,,,,,
40,Ponds (priority habitat),Permanent and seasonal standing water bodies that are <2 ha in extent AND that meet one or more of the following criteria: (1) Habitats of international importance: Ponds that meet criteria under Annex 1 of the Habitats Directive. (2) Support,,If they meet the specified criteria: Pools. Lochans (Scotland). Loughs (Ireland). Lyn (Wales). Tarns (northern England).,,,of high conservation importance: Red Data Book,
400,Topogenous,"High water tables are maintained principally by the topography of the site, with mainly vertical water movement through peat and soil.",,,,,,
401,Soligenous,High water tables are maintained principally by lateral water movement.,,,,,,
402,Rich fen,Wetlands fed by mineral-enriched calcareous waters (pH ≥5).,,,,,,
403,Poor fen,Wetlands fed by water derived from base-poor rock such as sandstones and granites.,,,,,,
404,Fertile fen,Nutrient enriched fen that is dominated by,,,,,of eutrophic conditions.,
405,Infertile fen,Fen with no signs of eutrophication and with,,,,,not associated with high fertility.,
406,Swamp,,,,,,"-poor wetland vegetation types, each dominated by often tall or bulky monocotyledons and with a usually ill-defined understorey element or none.",
407,Tall fen,"Wetlands consisting largely of Common Reed Phragmites australis or Great Fen-sedge Cladium mariscus stands mixed with herbaceous dicotyledons such as Milk Parsley Peucedanum palustre, Hemp-agrimony Eupatorium cannabinum or Common Nettle Urtica dioica; some examples are maintained by mowing and thus the phyiognomy can be highly variable.",,,,,,
408,Small-sedge fen,"Wetlands with the smaller sedges such as Dioecious Sedge Carex dioica, Tawny Sedge Carex hostiana, Common Sedge Carex nigra, Long- stalked Yellow-sedge Carex viridula subsp. brachyrrhyncha and Carnation Sedge Carex panicea, and maybe sedge allies such as Few- flowered Spike-rush Eleocharis quinqueflora and Flat-sedge Blysmus compressus, usually in association with extensive bryophyte cover, and formed in areas of lower fertility.",,,,,,
409,Bryophyte-dominated,"Wetlands in which a wide range of bryophytes may form continuous carpets, the",,,Can be used on moss covered concrete or green roofs.,Bryophyte-dominated ground flora in woodland.,"assemblages being determined by the base-status, rather than fertility of the water supplying the fen, which is typically very low.",
41,Pond (non-priority),Standing water bodies that are <2 ha and that do not meet the criteria for Priority Habitat ponds (see 40).,,If they meet the specified criteria: Pools. Lochans (Scotland). Loughs (Ireland). Lyn (Wales). Tarns (northern England).,,,,
410,Open water fen,Fens formed by rafts of vegetation colonising open water and then sinking to form a layer of peat.,Dangerous to survey.,,,,,
411,Transition fen,"Transition fens develop around a body of open water. The proportion of open water is large. The fen may consist of an encroaching stand of reeds and sedges, or it may develop as an expanding floating raft of vegetation.",,,,,,
412,Basin fen,"Wetlands that have developed in a flooded basin with a limited through-flow of water. The lake may infill by gradual successional encroachment by open-water transition fen, or it may become enclosed first by a ‘Schwingmoor’ layer and then infill with detritus sinking downwards from the ‘Schwingmoor’ layer.",,,,,,
413,Floodplain fen,"Develops on the waterlogged, periodically- inundated floodplain of a river system. Although the river channel and leveés contain the river for most of the time, flood events allow the river to spread across the floodplain, leaving much standing water, waterlogged ground and riverine deposits as it recedes back into its channel.",,,,,,
414,Basin raised bog lagg fen,"Basin raised bog lagg fen represents the minerotrophic transition zone surrounding a basin- raised bog, where bog waters and groundwater mix.",,,,,,
415,Floodplain raised bog,"This type represents the minerotrophic transition zone surrounding a floodplain raised bog, where bog waters and groundwater mix.",,,,,,
416,Spring fen,"Spring fen often represents a rather small feature of some tens of metres in length, where groundwater emerges and often gives rise to a moss-dominated mound of vegetation.",,,,,,
417,Surface flow spring fen,"A surface flow spring fen often represents a much larger feature than a simple spring fen (which may still form a relatively small mound at the head of this system). The emerging spring water flows across the ground surface downslope, sometimes for considerable distances, giving rise to fen peat formation which is usually highly linear in plan view, forming pale bands or fingers running downslope.",,,,,,
418,Percolation spring fen,This type of fen develops when the water emerging from a simple spring becomes engulfed in extensive growth of bryophytes – either Sphagnum or ‘brown mosses’ – leaving no trace of moving water on the surface because it all now percolates downslope through the mass of bryophyte litter and peat which has accumulated.,,,,,,
419,Surface flush or rill or,"This represents a relatively narrow zone of water collection and transport, often representing the upper reaches of what will eventually become small streamlines.",,,,,,
42,Pond,Standing water bodies that are <2 ha. and Priority Habitat status cannot be determined.,,Pools. Lochans (Scotland). Loughs (Ireland). Lyn (Wales). Tarns (northern England).,,,,
420,Valley fen,"A valley fen in some ways is a diminished version of a floodplain fen (see 413), in that the central watercourse is not a river but a small stream or seepage-line, and it rarely if ever floods across the shallow valley system. Consequently, the vegetation zone a little set back from the watercourse is often base-poor and somewhat stagnant, leading to development of habitat very similar to bog, but still minerotrophic.",,,,,,
421,Ladder fen,"A ladder fen is a particular form of valley fen, but one in which shallow bog-pool patterns run across the line of water seepage rather than parallel with it, as is the case with a typical valley fen.",,,,,,
422,Cutover peat,"Areas of bog where peat has been ‘mined’ leaving bare peat and-or pools, often with a ≥20cm face marking where digging ceased.",,,Commercial peat mining and ‘traditional’ peat cutting around crofting communities.,,,
423,Grip,"Small drainage channels across moorland or flood meadows that help remove surface water but not affecting soil water. These can be seasonally wet, especially on flood meadows.",,,,Structures designed to supply water meadows with water seasonally (see 123). These can be known as carriers with panes and drains forming “bedworks”. Code as a ditch (see 50).,,
424,Grip blocking,"The blocking of drainage ditches, or grips, on blanket bog and wet heathland to restore habitats.",Moorland gripping is the practice of digging ditches to drain wet areas of heath and blanket bog. Gripping was a practice particularly widespread in the northern uplands and on Exmoor and Dartmoor. Changes to the hydrological management of upland habitats can be detrimental to the characteristic vegetation and,,,Sluices. Water-gates.,"of the uplands, as well as increasing the risk of soil erosion and flash flooding. Grip blocking can help to restore natural drainage patterns, encourage re-vegetation, reduce erosion, and minimise the knock-on effect of hydrological change downstream.",
425,Beaver-made wetland,"Wetlands created or significantly modified by the activities of the Eurasian beaver Castor fiber, such as the felling of trees and construction of dams across watercourses.","The native Eurasian beaver Castor fiber became extinct in the UK in the sixteenth century and has been successfully reintroduced into parts of the UK in the early twenty-first century. It is the only native animal that merits the term ‘habitat architect’ at the scale used in habitat classification and mapping. Beavers offer a nature-based solution to improving the health and function of river catchments. Beaver-created wetlands can act as sponges, resulting in more constant flows and retaining water during droughts. A series of leaky beaver dams can reduce the speed of flow and help reduce the chance of flash flooding. Beaver dams can capture organic sediments, reducing the effects of agricultural runoff and harmful chemicals such as pesticides, helping to improve water quality downstream.",,"Wetlands, standing water, running water and woodlands where the habitat has been created or significantly modified by Beaver activity.",Other areas of habitat that may be used by Beaver but the habitat is not significantly modified by the activities of the,.,
43,Lake,Standing water bodies that are ≥2 ha. and Priority Habitat status cannot be determined.,,"Lochs (Scotland, where freshwater). Loughs (Ireland). Lyn (Wales).",,,,
44,Lake (non-priority),"Standing water bodies that are >2 ha and that do not meet the criteria for Priority Habitat lakes (see r1a, r1b, r1c).",,,,,,
45,Reservoir,An artificial water body created by a dam for public water supply or irrigation purposes.,,,Drawdown zones.,The dam. Fishing lakes. Industrial lagoons. Gravel pits. Quarry pools. Ornamental lakes,,
46,Ornamental lakes or,Artificial standing water bodies designed and managed primarily for ornamental purposes.,,,,,,
47,Freshwater – natural,Freshwater bodies of natural origin.,,,"Ponds Lakes. Streams Rivers. Minor modifications, such as moorings on lakes.",,,
48,Freshwater – heavily,"A watercourse modified in situ by re-grading, re- sectioning/re-profiling (including dams, weirs and fords), alteration of its longitudinal profile, open culverting, bank reinforcement or protection (e.g. revetment, piling, gabions, rip-rap), canalisation, embankment or by other river-engineering work that permanently or quasi-permanently alters the profile of the channel. These modifications affect the cross-sectional and longitudinal profile of the channel but do not significantly affect the plan- view profile of the channel.",,,Modification to the ‘old courses’ of rivers in low lying areas such as the Fens that make them appear to be constructed drains.,"Standing water bodies, such as ponds or lakes (use 46 or 48).",,
